401,9,80,0,80,39.03
401,10,0,100,34.92,100
401,11,74,0,74,50.45
401,12,0,100,25,100
401,13,40,40,78,82.1
401,14,30,30,50.45,74
401,15,100,0,100,48.79
401,16,0,100,48.79,100
401,17,80,0,80,27.94
401,18,40,40,67.26,98.67
401,19,80,0,80,20
401,20,30,30,58.5,61.57
401,21,40,40,82.1,78
401,22,0,80,27.94,80
402,1,86,4.8,100,34.92
402,2,2,72,20,80
402,3,30,30,61.57,58.5
402,4,80,12.7,98.67,67.26
402,5,40,40,80,80
402,6,83.8,4,100,25
402,7,30,30,60,60
402,8,4.8,70.1,39.03,80
402,9,70.2,4.7,80,39.03
402,10,5,85.6,34.92,100
402,11,59.2,10,74,50.45
402,12,5,80,25,100
402,13,40,40,78,82.1
402,14,9.4,60.2,50.45,74
402,15,80,9.7,100,48.79
402,16,5,89.7,48.79,100
402,17,65.2,5.1,80,27.94
402,18,5.6,90.4,67.26,98.67
402,19,60,5,80,20
402,20,30,30,58.5,61.57
402,21,40,40,82.1,78
402,22,3.4,70.2,27.94,80
403,1,54,16,100,34.92
403,2,7.4,50.4,20,80
403,3,27.8,32,61.57,58.5
403,4,50,33.1,98.67,67.26
403,5,40,40,80,80
403,6,70,7.5,100,25
403,7,32,28,60,60
403,8,19.4,40.2,39.03,80
403,9,50,14.6,80,39.03
403,10,14,59.9,34.92,100
403,11,40,23.1,74,50.45
403,12,10,60,25,100
403,13,35.2,45,78,82.1
403,14,23.2,39.9,50.45,74
403,15,60,19.5,100,48.79
403,16,19.6,59.8,48.79,100
403,17,45.2,12.1,80,27.94
403,18,30,54.6,67.26,98.67
403,19,50,7.5,80,20
403,20,30,30,58.5,61.57
403,21,45.2,35,82.1,78
403,22,10.4,50.2,27.94,80
404,1,100,0,100,34.92
404,2,0,80,20,80
404,3,20,39.5,61.57,58.5
404,4,98.6,0,98.67,67.26
404,5,0,80,80,80
404,6,99.8,0,100,25
404,7,29.4,30.6,60,60
404,8,0,80,39.03,80
404,9,79.8,0,80,39.03
404,10,0,100,34.92,100
404,11,74,0,74,50.45
404,12,0,100,25,100
404,13,0,82.1,78,82.1
404,14,9.6,59.9,50.45,74
404,15,99.8,0,100,48.79
404,16,0,100,48.79,100
404,17,79.8,0,80,27.94
404,18,0,98.6,67.26,98.67
404,19,79.8,0,80,20
404,20,58.5,0,58.5,61.57
404,21,82,0,82.1,78
404,22,0,80,27.94,80
407,1,27,25.4,100,34.92
407,2,0,80,20,80
407,3,30,30,61.57,58.5
407,4,54.4,30.1,98.67,67.26
407,5,40,40,80,80
407,6,100,0,100,25
407,7,30,30,60,60
407,8,15.6,48,39.03,80
407,9,34.6,22.1,80,39.03
407,10,0,100,34.92,100
407,11,30.8,29.4,74,50.45
407,12,0,100,25,100
407,13,40,40,78,82.1
407,14,30,30,50.45,74
407,15,50.2,24.2,100,48.79
407,16,22.4,54,48.79,100
407,17,80,0,80,27.94
407,18,40,40,67.26,98.67
407,19,80,0,80,20
407,20,30,30,58.5,61.57
407,21,40,40,82.1,78
407,22,0,80,27.94,80
408,1,10.6,31.2,100,34.92
408,2,7,52,20,80
408,3,50,11,61.57,58.5
408,4,37.4,41.7,98.67,67.26
408,5,41.6,38.4,80,80
408,6,44.8,13.8,100,25
408,7,20.2,39.8,60,60
408,8,20.8,37.3,39.03,80
408,9,49,15.1,80,39.03
408,10,20.2,42.1,34.92,100
408,11,28.2,31.2,74,50.45
408,12,2,92,25,100
408,13,37.4,42.7,78,82.1
408,14,21.4,42.6,50.45,74
408,15,47.6,25.5,100,48.79
408,16,16.8,65.5,48.79,100
408,17,25.8,18.9,80,27.94
408,18,15.6,75.7,67.26,98.67
408,19,57.6,5.6,80,20
408,20,11.6,49.3,58.5,61.57
408,21,4.8,73.4,82.1,78
408,22,15.4,35.9,27.94,80
409,1,53.8,16.1,100,34.92
409,2,13.6,25.5,20,80
409,3,30,30,61.57,58.5
409,4,19.8,53.7,98.67,67.26
409,5,40,40,80,80
409,6,45,13.7,100,25
409,7,30,30,60,60
409,8,19.2,40.6,39.03,80
409,9,40.2,19.4,80,39.03
409,10,20.8,40.4,34.92,100
409,11,36,25.9,74,50.45
409,12,10,60,25,100
409,13,39.4,40.6,78,82.1
409,14,27.4,33.8,50.45,74
409,15,32.79,32.79,100,48.79
409,16,19.4,60.2,48.79,100
409,17,27.6,18.3,80,27.94
409,18,40,40,67.26,98.67
409,19,25,13.7,80,20
409,20,30,30,58.5,61.57
409,21,40,40,82.1,78
409,22,14,39.9,27.94,80
410,1,25.88,25.88,100,34.92
410,2,16,16,20,80
410,3,30,30,61.57,58.5
410,4,45,36.5,98.67,67.26
410,5,38.8,41.2,80,80
